N,P,K,temperature,humidity,ph,rainfall,Total_Nutrients,Temperature_Humidity,Log_Rainfall,Label,Label_Encoded
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,191,1961.678998,5.278598374,wheat,0
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,168,1799.488332,5.430939537,wheat,0
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,183,2198.955382,5.661251982,wheat,0
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,152,1988.13409,5.652257036,wheat,0
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,166,2141.472882,5.386231437,wheat,0
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,172,2015.468587,5.594622881,wheat,0
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,157,1665.481341,5.26244961,wheat,0
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,189,1743.098272,5.631077791,wheat,0
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,150,1678.23331,5.505945699,wheat,0
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,186,2151.036973,5.508021735,wheat,0
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,189,1727.007735,5.636734752,wheat,0
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,148,1763.204665,5.315094991,wheat,0
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,165,1672.794113,5.578359898,wheat,0
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,176,2023.861019,5.21255048,wheat,0
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,190,1698.56168,5.2966815,wheat,0
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,180,2117.419442,5.499264557,wheat,0
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,156,1898.060751,5.576366934,wheat,0
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,184,1887.883219,5.600286576,wheat,0
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,154,2095.340042,5.326905721,wheat,0
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,150,1867.568037,5.567915044,wheat,0
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,158,2060.485545,5.692416288,wheat,0
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,163,1769.940685,5.264345572,wheat,0
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,165,2223.717727,5.554862775,wheat,0
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,178,1819.612992,5.631495538,wheat,0
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,158,2186.198124,5.63979292,wheat,0
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,146,2040.399438,5.230820569,wheat,0
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,150,2190.016266,5.275952404,wheat,0
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,160,1898.839066,5.307838475,wheat,0
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,168,2097.002759,5.214415788,wheat,0
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,152,2109.319135,5.279936744,wheat,0
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,157,2140.149782,5.413283943,wheat,0
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,149,2212.910679,5.235130877,wheat,0
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,164,2036.364711,5.398685962,wheat,0
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,164,1843.507319,5.449906894,wheat,0
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,163,1896.267862,5.494365378,wheat,0
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,178,2074.715342,5.213058647,wheat,0
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,176,1918.581137,5.458323005,wheat,0
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,181,1752.075204,5.443387899,wheat,0
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,184,2205.942992,5.675655179,wheat,0
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,172,1999.380031,5.48976941,wheat,0
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,161,2125.552659,5.393247277,wheat,0
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,156,2219.200219,5.518358707,wheat,0
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,147,1879.523789,5.552945926,wheat,0
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,176,1893.220354,5.274358491,wheat,0
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,177,1768.759569,5.693479176,wheat,0
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,160,1783.968868,5.664960886,wheat,0
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,157,2247.530381,5.218311931,wheat,0
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,142,1952.703009,5.243933327,wheat,0
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,141,1440.276111,4.485930899,barley,1
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,122,1868.114666,4.637310551,barley,1
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,139,1686.658769,4.215380888,barley,1
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,152,1152.048671,4.121501044,barley,1
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,119,1158.536141,4.196274509,barley,1
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,125,1258.887493,4.635565235,barley,1
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,151,1703.950625,4.66782071,barley,1
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,168,1680.056732,4.370287961,barley,1
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,137,1277.159543,4.193857784,barley,1
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,152,1664.422273,4.702444144,barley,1
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,133,1712.722513,4.556999676,barley,1
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,160,1698.035517,4.318217839,barley,1
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,130,1310.680254,4.17238844,barley,1
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,152,1241.539408,4.561864843,barley,1
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,141,1516.447477,4.29215329,barley,1
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,143,1009.124317,4.17012561,barley,1
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,134,1733.148813,4.655507864,barley,1
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,119,1640.817467,4.352656525,barley,1
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,138,1388.286248,4.197161455,barley,1
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,148,1135.25196,4.445425462,barley,1
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,155,1840.101791,4.391243865,barley,1
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,164,1290.158194,4.489507197,barley,1
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,152,1218.777635,4.406423262,barley,1
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,149,1106.480326,4.391398699,barley,1
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,164,1728.87741,4.324330093,barley,1
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,146,1735.609871,4.579481049,barley,1
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,151,1373.448398,4.642756817,barley,1
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,139,1540.000611,4.639429505,barley,1
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,148,1457.069294,4.268784251,barley,1
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,161,1625.945779,4.698937141,barley,1
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,147,1354.529421,4.203042182,barley,1
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,125,1028.337583,4.521658688,barley,1
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,166,1532.21982,4.180654672,barley,1
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,122,1424.840182,4.159483434,barley,1
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,128,1633.376382,4.48784739,barley,1
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,163,1909.406209,4.686687422,barley,1
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,149,1209.643169,4.126359486,barley,1
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,162,1284.743982,4.7072893,barley,1
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,151,1780.743445,4.530051861,barley,1
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,151,1414.523975,4.556636171,barley,1
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,172,1763.088403,4.277715878,barley,1
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,127,1736.75937,4.353223281,barley,1
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,139,1303.903973,4.25160513,barley,1
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,166,1451.738128,4.63181631,barley,1
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,143,1618.639118,4.678618729,barley,1
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,164,1420.263146,4.209069647,barley,1
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,136,1709.971214,4.524616819,barley,1
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,150,1129.222428,4.700699805,barley,1
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,140,1606.229767,4.610951562,barley,1
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,123,1262.854038,4.281094227,barley,1
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,155,1344.805531,4.3738186,barley,1
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,136,1402.140565,4.493720263,barley,1
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,170,1295.715486,4.15109532,barley,1
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,115,1183.180432,4.349156332,barley,1
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,165,1444.277662,4.685088087,barley,1
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,155,1215.676148,4.622704798,barley,1
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,149,1353.936583,4.684611417,barley,1
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,154,1288.691947,4.630791922,barley,1
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,130,1316.830675,4.403361903,barley,1
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,114,1439.599291,4.439502785,barley,1
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,144,1410.363631,4.510444051,barley,1
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,157,1278.744144,4.489785641,barley,1
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,142,1441.208787,4.186284132,barley,1
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,146,1935.269301,4.308600207,barley,1
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,142,1343.647857,4.433317309,barley,1
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,146,1229.703084,4.65063519,barley,1
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,149,1314.879574,4.445349868,barley,1
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,139,1810.673304,4.580795041,barley,1
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,130,1325.775818,4.233628824,barley,1
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,172,1576.417406,4.433279396,barley,1
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,156,1311.559522,4.486959949,barley,1
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,130,1312.410832,4.571756978,barley,1
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,139,1214.869819,4.228440299,barley,1
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,163,1715.735406,4.59097808,barley,1
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,139,1349.706202,4.178049089,barley,1
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,146,1634.592723,4.34150023,barley,1
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,136,1488.252658,4.490572812,barley,1
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,150,1093.606021,4.656168971,barley,1
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,126,1682.596864,4.221010273,barley,1
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,158,1638.381427,4.230153382,barley,1
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,167,1801.713955,4.646536876,barley,1
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,127,1730.871211,4.68431529,barley,1
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,141,1148.655598,4.331160574,barley,1
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,141,1405.471714,4.371480935,barley,1
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,137,1382.705054,4.663517529,barley,1
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,141,1653.480745,4.150912467,barley,1
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,147,1839.678257,4.690543991,barley,1
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,137,1604.616091,4.324408383,barley,1
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,151,1696.047169,4.157532092,barley,1
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,175,1335.031436,4.261734819,barley,1
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,155,1298.990416,4.695974243,barley,1
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,161,1313.737268,4.381546462,barley,1
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,145,1883.247598,4.392586358,barley,1
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,160,1144.958031,4.54987301,barley,1
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,153,1548.093494,4.463110231,barley,1
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,171,1378.012499,4.422948174,barley,1
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,124,1473.988791,4.698298898,barley,1
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,133,1171.743908,4.265970457,barley,1
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,164,1177.86761,4.197331471,barley,1
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,159,1820.361845,4.602543874,barley,1
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,189,289.2308524,4.49481088,lettuce,2
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,179,325.8533635,4.393547277,lettuce,2
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,182,275.5770643,4.242036273,lettuce,2
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,179,295.4377667,4.494355823,lettuce,2
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,180,359.3779175,4.385315927,lettuce,2
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,186,315.0059289,4.53992461,lettuce,2
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,212,343.0312565,4.326290747,lettuce,2
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,213,325.0161188,4.426251001,lettuce,2
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,179,343.6630298,4.417031446,lettuce,2
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,183,329.807208,4.418668158,lettuce,2
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,203,405.9076606,4.54915842,lettuce,2
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,188,296.3217029,4.325266463,lettuce,2
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,202,291.2111455,4.381590878,lettuce,2
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,170,370.3037226,4.403187096,lettuce,2
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,166,267.6961556,4.265237896,lettuce,2
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,184,359.2712778,4.284690803,lettuce,2
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,182,416.9638653,4.310897647,lettuce,2
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,194,332.5233016,4.425126791,lettuce,2
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,179,275.4205584,4.219063574,lettuce,2
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,178,299.1843837,4.515926683,lettuce,2
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,189,275.8483206,4.280963435,lettuce,2
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,170,303.6675472,4.463019456,lettuce,2
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,185,263.56908,4.503253806,lettuce,2
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,211,352.4846042,4.460485415,lettuce,2
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,204,357.044915,4.303381135,lettuce,2
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,167,247.6131816,4.29492446,lettuce,2
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,181,305.0161734,4.329080076,lettuce,2
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,203,355.2425988,4.561321954,lettuce,2
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,216,292.547167,4.439659336,lettuce,2
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,192,313.4266219,4.381033671,lettuce,2
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,186,293.2311139,4.439816317,lettuce,2
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,206,272.4932731,4.351255646,lettuce,2
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,175,382.8455409,4.530023236,lettuce,2
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,176,340.7590428,4.348013531,lettuce,2
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,185,303.1463862,4.507901223,lettuce,2
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,167,289.0916792,4.547014903,lettuce,2
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,192,329.2878668,4.409176776,lettuce,2
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,182,301.8084507,4.41531262,lettuce,2
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,199,358.9762854,4.439691509,lettuce,2
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,192,286.2465355,4.363645512,lettuce,2
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,174,332.1386156,4.368535878,lettuce,2
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,193,344.1190468,4.421902875,lettuce,2
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,187,305.8274131,4.269985058,lettuce,2
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,206,297.121768,4.301172295,lettuce,2
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,182,305.569591,4.457229169,lettuce,2
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,177,255.8979171,4.458684247,lettuce,2
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,191,354.7309354,4.339011568,lettuce,2
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,186,285.4403355,4.50665925,lettuce,2
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,201,329.7604261,4.337173239,lettuce,2
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,198,296.5586322,4.466491631,lettuce,2
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,201,368.3606017,4.397538777,lettuce,2
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,203,396.4062241,4.372738579,lettuce,2
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,157,262.2088541,4.338308574,lettuce,2
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,181,270.9704593,4.303317072,lettuce,2
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,158,267.1491671,4.519351596,lettuce,2
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,201,293.8144283,4.367152996,lettuce,2
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,188,395.8812737,4.370322254,lettuce,2
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,196,347.6779779,4.46106023,lettuce,2
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,208,340.9017057,4.254281205,lettuce,2
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,176,297.2698462,4.348025757,lettuce,2
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,165,316.905864,4.402325956,lettuce,2
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,198,283.2242093,4.395822759,lettuce,2
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,215,272.2398846,4.532018179,lettuce,2
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,168,334.6896292,4.48315088,lettuce,2
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,204,323.572109,4.553907124,lettuce,2
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,179,367.2629099,4.493775604,lettuce,2
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,181,410.4844284,4.451825982,lettuce,2
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,192,333.0550027,4.248181842,lettuce,2
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,193,290.5606037,4.496266584,lettuce,2
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,190,327.3238545,4.193255999,lettuce,2
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,199,275.0159625,4.201409929,lettuce,2
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,184,284.2673972,4.325968422,lettuce,2
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,179,303.4443728,4.427211119,lettuce,2
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,179,404.7760888,4.257660142,lettuce,2
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,189,311.9358016,4.480450696,lettuce,2
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,188,299.338115,4.274879883,lettuce,2
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,188,297.8654557,4.533312175,lettuce,2
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,189,371.7353725,4.384587006,lettuce,2
